# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        310.06030008       1.22124533e-15     6.471171914400e-03     1.139329833407e-03     2.056871203571e-03
        311.30054128      -1.66533454e-16     6.481824978952e-03     1.176110523780e-03     2.055177678056e-03
        312.54078248      -1.16573418e-15     6.491990119436e-03     1.215490004544e-03     2.053460920582e-03
        313.78102368       9.99200722e-16     6.501541816975e-03     1.256855701982e-03     2.051752392173e-03
        315.02126488      -1.44328993e-15     6.510374728748e-03     1.299662619036e-03     2.050060650003e-03
        316.26150608       2.05391260e-15     6.518371308962e-03     1.343496391373e-03     2.048372119393e-03
        317.50174728      -3.88578059e-16     6.525412778108e-03     1.387835665005e-03     2.046733558695e-03
        318.74198848      -4.88498131e-15     6.531424285550e-03     1.432035082754e-03     2.045251123416e-03
        319.98222968       3.88578059e-16     6.536364960782e-03     1.475474780886e-03     2.044006575792e-03
        321.22247088      -2.99760217e-15     6.540186317192e-03     1.517594159495e-03     2.043007226943e-03
        322.46271208       4.77395901e-15     6.542836811716e-03     1.557868235237e-03     2.042223154019e-03
        323.70295329       8.32667268e-16     6.544310331710e-03     1.595900981210e-03     2.041635245094e-03
        324.94319449      -2.99760217e-15     6.544532783863e-03     1.631111985516e-03     2.041326131559e-03
        326.18343569      -3.49720253e-15     6.543434538880e-03     1.663223760859e-03     2.041317799456e-03
        327.42367689      -1.66533454e-16     6.540970098881e-03     1.691576418860e-03     2.041670702587e-03
        328.66391809       5.38458167e-15     6.537168836237e-03     1.715694557053e-03     2.042363148869e-03
        329.90415929      -3.16413562e-15     6.532031562855e-03     1.735084771250e-03     2.043360633898e-03
        331.14440049      -6.10622664e-16     6.525587066667e-03     1.749454663520e-03     2.044613834105e-03
        332.38464169       0.00000000e+00     6.517916531109e-03     1.758592550102e-03     2.046064130234e-03
        333.62488289      -5.71764858e-15     6.509090162421e-03     1.762219837646e-03     2.047663459848e-03
        334.86512409      -2.22044605e-16     6.499138546399e-03     1.760074525025e-03     2.049384046661e-03
        336.10536529       8.88178420e-16     6.488154909819e-03     1.752093484422e-03     2.051202835680e-03
        337.34560649       2.10942375e-15     6.476273220915e-03     1.738414641263e-03     2.053134638013e-03
        338.58584769       3.77475828e-15     6.463647192303e-03     1.719224314675e-03     2.055171247404e-03
        339.82608889       2.22044605e-15     6.450426752938e-03     1.694776553535e-03     2.057232257021e-03
        341.06633009      -3.10862447e-15     6.436793405785e-03     1.665397948090e-03     2.059266719222e-03
        342.30657129       7.77156117e-16     6.422903651735e-03     1.631428383604e-03     2.061298618546e-03
        343.54681249       1.33226763e-15     6.408940502556e-03     1.593338969316e-03     2.063310878672e-03
        344.78705369      -1.33226763e-15     6.395131302455e-03     1.551783727407e-03     2.065255778600e-03
        346.02729489      -2.88657986e-15     6.381720997638e-03     1.507403844863e-03     2.067121269373e-03
        347.26753609       2.77555756e-16     6.368918404004e-03     1.460851725891e-03     2.068923997410e-03
        348.50777729      -1.11022302e-15     6.356876159231e-03     1.412799038448e-03     2.070669583654e-03
        349.74801849       1.33226763e-15     6.345720236062e-03     1.364043995641e-03     2.072352189495e-03
        350.98825969      -5.55111512e-16     6.335606015243e-03     1.315408264478e-03     2.073919416670e-03
        352.22850089       1.77635684e-15     6.326705153677e-03     1.267643016270e-03     2.075327418130e-03
        353.46874209      -3.33066907e-16     6.319159745757e-03     1.221463478318e-03     2.076595760151e-03
        354.70898329      -3.71924713e-15     6.313071399624e-03     1.177465133544e-03     2.077687827628e-03
        355.94922449       2.88657986e-15     6.308534032360e-03     1.136301445602e-03     2.078557179690e-03
        357.18946569       7.77156117e-16     6.305618658166e-03     1.098645478558e-03     2.079208554722e-03
        358.42970689       4.44089210e-16     6.304365713346e-03     1.064973208702e-03     2.079645980110e-03
        359.66994809      -6.66133815e-16     6.304876107743e-03     1.035722890805e-03     2.079837030720e-03
        360.91018929      -1.33226763e-15     6.307195973818e-03     1.011361103453e-03     2.079779679089e-03
        362.15043050       2.10942375e-15     6.311309029604e-03     9.921612301369e-04     2.079511887452e-03
        363.39067170       9.99200722e-16     6.317189194505e-03     9.782983111943e-04     2.079007325955e-03
